Sample no.,X,Y
860,176.23,164.64
861,176.23,164.64
862,175.49,164.59
863,176.23,164.64
864,176.23,164.64
865,176.2,163.77
866,176.2,163.77
867,176.23,164.64
868,176.23,164.64
869,176.2,163.77
870,176.23,164.64
871,176.2,163.77
872,176.2,163.77
873,175.45,163.72
874,176.2,163.77
875,175.45,163.72
876,175.45,163.72
877,175.45,163.72
878,175.45,163.72
879,174.68,162.81
880,174.68,162.81
881,174.68,162.81
882,174.68,162.81
883,174.68,162.81
884,174.64,161.94
885,174.64,161.94
886,174.61,161.06
887,173.86,161.02
888,173.86,161.02
889,173.83,160.15
890,173.83,160.15
891,173.83,160.15
892,173.86,161.02
893,173.12,160.97
894,173.12,160.97
895,173.12,160.97
896,173.12,160.97
897,173.12,160.97
898,172.4,161.8
899,173.15,161.84
900,173.15,161.84
901,173.15,161.84
902,173.19,162.71
903,173.15,161.84
904,173.15,161.84
905,173.19,162.71
906,173.19,162.71
907,172.44,162.67
908,173.19,162.71
909,173.19,162.71
910,173.19,162.71
911,173.19,162.71
912,173.19,162.71
913,172.44,162.67
914,172.44,162.67
915,171.72,163.49
916,171.72,163.49
917,171.01,164.31
918,171.04,165.18
919,171.08,166.04
920,170.36,166.86
921,170.4,167.72
922,170.43,168.59
923,170.43,168.59
924,170.43,168.59
925,169.68,168.54
926,169.71,169.4
927,169.71,169.4
928,169.71,169.4
929,169.71,169.4
930,169.71,169.4
931,170.43,168.59
932,169.68,168.54
933,169.71,169.4
934,169.71,169.4
935,170.47,169.45
936,169.75,170.26
937,169.79,171.13
938,169.79,171.13
939,169.79,171.13
940,169.79,171.13
941,169.79,171.13
942,169.79,171.13
943,169.79,171.13
944,169.03,171.08
945,169.03,171.08
946,169.03,171.08
947,169.07,171.94
948,169.07,171.94
949,169.07,171.94
950,169.07,171.94
951,169.07,171.94
952,169.07,171.94
953,169.1,172.8
954,168.35,172.75
955,168.38,173.61
956,168.38,173.61
957,169.14,173.65
958,169.9,173.7
959,169.9,173.7
960,169.14,173.65
961,169.14,173.65
962,169.14,173.65
963,169.14,173.65
964,169.1,172.8
965,169.1,172.8
966,169.1,172.8
967,169.1,172.8
968,169.1,172.8
969,168.35,172.75
970,169.1,172.8
971,169.14,173.65
972,169.1,172.8
973,168.38,173.61
974,168.35,172.75
975,168.38,173.61
976,168.42,174.46
977,169.14,173.65
978,169.14,173.65
979,169.14,173.65
980,169.14,173.65
981,168.38,173.61
982,169.14,173.65
983,169.14,173.65
984,169.14,173.65
985,169.18,174.51
986,168.42,174.46
987,169.18,174.51
988,169.18,174.51
989,169.22,175.37
990,169.22,175.37
991,169.18,174.51
992,169.22,175.37
993,168.46,175.32
994,169.18,174.51
995,169.22,175.37
996,168.42,174.46
997,169.18,174.51
998,169.22,175.37
999,169.18,174.51
1000,169.18,174.51
1001,169.18,174.51
1002,169.18,174.51
1003,169.18,174.51
1004,169.18,174.51
1005,169.18,174.51
1006,169.18,174.51
1007,169.18,174.51
1008,168.42,174.46
1009,168.42,174.46
1010,168.42,174.46
1011,168.42,174.46
1012,168.42,174.46
1013,168.42,174.46
1014,168.42,174.46
1015,169.18,174.51
1016,168.42,174.46
1017,169.14,173.65
1018,169.18,174.51
1019,169.18,174.51
1020,168.42,174.46
1021,168.38,173.61
1022,168.38,173.61
1023,168.38,173.61
1024,168.38,173.61
1025,168.42,174.46
1026,168.38,173.61
1027,168.42,174.46
1028,168.38,173.61
1029,168.38,173.61
1030,168.38,173.61
1031,168.38,173.61
1032,168.38,173.61
1033,169.14,173.65
1034,168.38,173.61
1035,168.38,173.61
1036,168.38,173.61
1037,168.38,173.61
1038,168.38,173.61
1039,168.38,173.61
1040,168.42,174.46
1041,168.38,173.61
1042,168.38,173.61
1043,168.38,173.61
1044,169.14,173.65
1045,169.14,173.65
1046,168.42,174.46
1047,168.38,173.61
1048,169.18,174.51
1049,169.18,174.51
1050,168.42,174.46
1051,168.42,174.46
1052,168.42,174.46
1053,168.42,174.46
1054,168.42,174.46
1055,169.18,174.51
1056,168.42,174.46
1057,168.42,174.46
1058,168.42,174.46
1059,168.42,174.46
1060,169.14,173.65
1061,169.14,173.65
1062,169.14,173.65
1063,169.14,173.65
1064,169.1,172.8
1065,169.1,172.8
1066,169.07,171.94
1067,169.07,171.94
1068,169.07,171.94
1069,169.07,171.94
1070,169.07,171.94
1071,169.07,171.94
1072,169.07,171.94
1073,169.07,171.94
1074,169.03,171.08
1075,168.27,171.03
1076,166.75,170.94
1077,165.95,170.03
1078,165.23,170.85
1079,164.5,171.66
1080,162.96,171.57
1081,162.2,171.53
1082,160.69,172.3
1083,158.4,173.03
1084,156.88,173.8
1085,154.54,173.69
1086,152.2,173.58
1087,149.87,174.32
1088,147.5,174.22
1089,144.33,174.09
1090,140.33,173.11
1091,136.32,172.14
1092,131.5,172.01
1093,127.46,171.92
1094,122.6,171.83
1095,118.53,171.77
1096,114.44,170.88
1097,109.53,170.01
1098,104.61,169.17
1099,99.68,168.34
1100,94.75,167.53
1101,91.48,165.89
1102,87.38,164.26
1103,83.3,162.64
1104,80.04,161.01
1105,75.97,159.4
1106,73.55,157.77
1107,71.13,156.13
1108,69.54,154.47
1109,67.93,153.66
1110,67.13,152.83
1111,66.34,151.99
1112,66.34,151.99
1113,66.36,151.14
1114,66.36,151.14
1115,66.36,151.14
1116,65.52,152.02
1117,65.52,152.02
1118,66.34,151.99
1119,65.52,152.02
1120,65.52,152.02
1121,65.52,152.02
1122,65.52,152.02
1123,65.52,152.02
1124,65.52,152.02
1125,65.5,152.87
1126,65.5,152.87
1127,65.5,152.87
1128,65.52,152.02
1129,65.52,152.02
1130,66.34,151.99
1131,66.34,151.99
1132,67.15,151.97
1133,67.15,151.97
1134,67.15,151.97
1135,67.15,151.97
1136,67.15,151.97
1137,67.15,151.97
1138,67.15,151.97
1139,67.15,151.97
1140,66.34,151.99
1141,66.34,151.99
1142,65.52,152.02
1143,64.73,151.18
1144,63.92,151.21
1145,62.32,150.4
1146,61.53,149.57
1147,59.93,148.76
1148,59.12,148.79
1149,57.52,147.98
1150,56.74,147.15
1151,55.15,146.34
1152,54.36,145.51
1153,52.78,144.7
1154,51.2,143.9
1155,49.64,142.22
1156,48.06,141.41
1157,46.51,139.73
1158,44.15,138.96
1159,41.81,137.31
1160,39.48,135.65
1161,37.93,134.84
1162,35.61,133.18
1163,34.09,131.48
1164,31.79,129.82
1165,30.28,128.11
1166,28.72,128.18
1167,27.97,127.33
1168,26.44,126.51
1169,25.69,125.65
1170,24.92,125.69
1171,24.94,124.79
1172,24.17,124.83
1173,24.19,123.94
1174,24.22,123.04
1175,24.22,123.04
1176,23.47,122.18
1177,23.47,122.18
1178,23.49,121.29
1179,23.51,120.39
1180,22.74,120.43
1181,22.76,119.53
1182,21.99,119.56
1183,22.02,118.67
1184,21.25,118.7
1185,21.25,118.7
1186,21.27,117.8
1187,20.5,117.83
1188,21.27,117.8
1189,21.27,117.8
1190,21.27,117.8
1191,21.27,117.8
1192,21.27,117.8
1193,21.27,117.8
1194,21.27,117.8
1195,21.27,117.8
1196,21.27,117.8
1197,22.04,117.77
1198,21.27,117.8
